pixelsize,dz,junkslices
6.5000383,100,71
,,72
,,80
,,103
,,175
,,200
,,203
,,207
,,225
,,232
,,294
,,306
,,336
,,356
,,357
,,359
,,361
,,362
,,363
,,364
,,364
,,396
,,398
,,411
,,412
,,414
,,549
,,344
,,337
,,338
,,417
,,206
,,346
,,366
